Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
2018,Ischool,Library & Information Science,529.0,408.0,116.0,390.0,14.0,23.0,43.0,0.0,0.28
2018,Education,Secondary Education,20.0,7.0,13.0,15.0,0.0,0.0,3.0,0.0,1.86
2018,Engineering,Electrical & Computer Engr,657.0,112.0,545.0,92.0,70.0,3.0,4.0,0.0,4.87
2018,Engineering,Computer Science,2318.0,559.0,1757.0,550.0,675.0,38.0,96.0,2.0,3.14
2018,Engineering,Computer Engineering,1184.0,152.0,1032.0,303.0,454.0,14.0,46.0,0.0,6.79
2018,Engineering,Civil Engineering,1225.0,324.0,901.0,450.0,138.0,16.0,86.0,1.0,2.78
2018,Engineering,Bioengineering,383.0,189.0,194.0,141.0,110.0,10.0,26.0,0.0,1.03
2018,Aces,Agricultural & Biological Engr,141.0,53.0,88.0,68.0,9.0,5.0,5.0,0.0,1.66
2018,Engineering,Aerospace Engineering,686.0,105.0,581.0,328.0,117.0,9.0,64.0,1.0,5.53
2018,Education,Special Education,160.0,140.0,19.0,118.0,5.0,10.0,19.0,0.0,0.14
2018,Education,Middle Grades Education,82.0,62.0,20.0,44.0,10.0,7.0,17.0,0.0,0.32
2018,Fine And Applied Arts,Instrumental Music,77.0,47.0,30.0,45.0,13.0,2.0,9.0,0.0,0.64
2018,Education,Learning And Education Studies,48.0,34.0,14.0,14.0,7.0,6.0,10.0,0.0,0.41
2018,Education,Elementary Education,302.0,279.0,23.0,213.0,30.0,10.0,43.0,0.0,0.08
2018,Education,Educational Psychology,51.0,37.0,14.0,21.0,4.0,4.0,1.0,0.0,0.38
2018,Education,Educational Policy Studies,41.0,23.0,18.0,6.0,4.0,17.0,4.0,0.0,0.78
2018,Education,Education Curriculum Uassign,22.0,18.0,4.0,13.0,0.0,2.0,6.0,0.0,0.22
2018,Education,"Educ Policy, Orgzn & Leadrshp ",705.0,481.0,222.0,412.0,41.0,120.0,65.0,0.0,0.46
2018,Education,Ed Organization And Leadership,22.0,12.0,10.0,17.0,0.0,2.0,0.0,0.0,0.83
2018,Education,Early Childhood Education,56.0,54.0,2.0,22.0,13.0,3.0,8.0,0.0,0.04
2018,Engineering,Electrical Engineering,913.0,127.0,786.0,292.0,257.0,15.0,51.0,0.0,6.19
2018,Engineering,Engineering,34.0,9.0,25.0,12.0,1.0,0.0,0.0,0.0,2.78
2018,Engineering,Engineering Mechanics,112.0,16.0,96.0,35.0,25.0,0.0,8.0,0.0,6.0
2018,Engineering,Engineering Physics,275.0,47.0,228.0,122.0,59.0,0.0,16.0,0.0,4.85
2018,Fine And Applied Arts,Graphic Design,185.0,127.0,58.0,84.0,35.0,15.0,22.0,0.0,0.46
2018,Fine And Applied Arts,Dance,68.0,59.0,9.0,42.0,1.0,14.0,5.0,0.0,0.15
2018,Fine And Applied Arts,Art And Design,47.0,29.0,18.0,22.0,4.0,1.0,2.0,0.0,0.62
