Fall,College,Major_Name,Total,Female,Male,MFRatio,Caucasian,Asian American,African American,Hispanic,Native American
2018,Ischool,Library & Information Science,529,408,116,0.28,390,14,23,43,0
2018,Education,Secondary Education,20,7,13,1.86,15,0,0,3,0
2018,Engineering,Electrical & Computer Engr,657,112,545,4.87,92,70,3,4,0
2018,Engineering,Computer Science,2318,559,1757,3.14,550,675,38,96,2
2018,Engineering,Computer Engineering,1184,152,1032,6.79,303,454,14,46,0
2018,Engineering,Civil Engineering,1225,324,901,2.78,450,138,16,86,1
2018,Engineering,Bioengineering,383,189,194,1.03,141,110,10,26,0
2018,Aces,Agricultural & Biological Engr,141,53,88,1.66,68,9,5,5,0
2018,Engineering,Aerospace Engineering,686,105,581,5.53,328,117,9,64,1
2018,Education,Special Education,160,140,19,0.14,118,5,10,19,0
2018,Education,Middle Grades Education,82,62,20,0.32,44,10,7,17,0
2018,Fine And Applied Arts,Instrumental Music,77,47,30,0.64,45,13,2,9,0
2018,Education,Learning And Education Studies,48,34,14,0.41,14,7,6,10,0
2018,Education,Elementary Education,302,279,23,0.08,213,30,10,43,0
2018,Education,Educational Psychology,51,37,14,0.38,21,4,4,1,0
2018,Education,Educational Policy Studies,41,23,18,0.78,6,4,17,4,0
2018,Education,Education Curriculum Uassign,22,18,4,0.22,13,0,2,6,0
2018,Education,"Educ Policy, Orgzn & Leadrshp ",705,481,222,0.46,412,41,120,65,0
2018,Education,Ed Organization And Leadership,22,12,10,0.83,17,0,2,0,0
2018,Education,Early Childhood Education,56,54,2,0.04,22,13,3,8,0
2018,Engineering,Electrical Engineering,913,127,786,6.19,292,257,15,51,0
2018,Engineering,Engineering,34,9,25,2.78,12,1,0,0,0
2018,Engineering,Engineering Mechanics,112,16,96,6,35,25,0,8,0
2018,Engineering,Engineering Physics,275,47,228,4.85,122,59,0,16,0
2018,Fine And Applied Arts,Graphic Design,185,127,58,0.46,84,35,15,22,0
2018,Fine And Applied Arts,Dance,68,59,9,0.15,42,1,14,5,0
2018,Fine And Applied Arts,Art And Design,47,29,18,0.62,22,4,1,2,0
2018,Fine And Applied Arts,Art Education,54,51,3,0.06,30,5,5,5,0
2018,Fine And Applied Arts,Architecture,199,99,99,1,61,12,7,12,0
2018,Fine And Applied Arts,Architectural Studies,418,167,251,1.5,195,49,25,78,0
2018,Engineering,Theoretical & Applied Mechans,36,7,29,4.14,10,3,0,1,0
2018,Engineering,Systems Engineering And Design,249,68,180,2.65,115,69,6,25,0
2018,Las,Physics,290,79,211,2.67,107,31,1,12,0
2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",218,28,190,6.79,114,18,0,16,0
2018,Fine And Applied Arts,Nondegree,181,49,132,2.69,20,2,0,3,0
2018,Engineering,Mechanical Engineering,1285,248,1037,4.18,491,195,14,92,2
2018,Engineering,Materials Science & Engr,504,147,357,2.43,181,99,3,16,0
2018,Engineering,Industrial Engineering,367,105,262,2.5,100,68,4,19,0
2018,Engineering,Financial Engineering,127,38,89,2.34,4,2,0,0,0
