,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F,,,,,,,,,
7772,2018,Aces,Agricultural & Biological Engr,225,90,135,118,19,6,10,0,1.5,,,,,,,,,
7726,2018,Aces,Nutritional Sciences,41,31,10,16,8,2,8,0,0.32,,,,,,,,,
7724,2018,Aces,Natural Resrcs & Environ Sci,359,203,156,246,15,10,35,1,0.77,,,,,,,,,
7721,2018,Aces,Human Development & Family St,253,230,22,112,22,48,61,0,0.1,,,,,,,,,
7718,2018,Aces,Food Science & Human Nutrition,480,350,130,210,64,20,52,0,0.37,,,,,,,,,
7717,2018,Aces,Crop Sciences,238,102,136,161,5,5,9,0,1.33,,,,,,,,,
7713,2018,Aces,Animal Sciences,626,496,128,355,47,49,116,0,0.26,,,,,,,,,
7711,2018,Aces,Agricultural Education,32,22,10,30,0,2,0,0,0.45,,,,,,,,,
7710,2018,Aces,Agricultural Communications,38,27,11,29,1,3,5,0,0.41,,,,,,,,,
7708,2018,Aces,Agricultural & Applied Econ,86,38,48,13,4,2,2,0,1.26,,,,,,,,,
7707,2018,Aces,Agric Leadership & Sci Educ,55,38,17,53,1,0,0,0,0.45,,,,,,,,,
7706,2018,Aces,Agr & Consumer Economics,647,195,452,440,57,28,48,2,2.32,,,,,,,,,
7546,2017,Aces,Agricultural & Biological Engr,229,83,146,113,19,8,11,0,1.76,,,,,,,,,
7478,2017,Aces,Agr & Consumer Economics,642,202,440,429,54,29,55,2,2.18,,,,,,,,,
7493,2017,Aces,Human Development & Family St,224,204,19,107,22,43,39,0,0.09,,,,,,,,,
7498,2017,Aces,Nutritional Sciences,49,37,12,25,7,1,5,0,0.32,,,,,,,,,
7496,2017,Aces,Natural Resrcs & Environ Sci,348,195,153,238,19,9,31,1,0.79,,,,,,,,,
7490,2017,Aces,Food Science & Human Nutrition,536,401,135,246,67,28,53,0,0.34,,,,,,,,,
7489,2017,Aces,Crop Sciences,249,103,146,175,5,4,6,0,1.42,,,,,,,,,
7485,2017,Aces,Animal Sciences,585,485,99,339,50,41,96,0,0.2,,,,,,,,,
7483,2017,Aces,Agricultural Education,34,26,8,31,0,2,0,0,0.31,,,,,,,,,
7482,2017,Aces,Agricultural Communications,26,18,8,19,0,2,5,0,0.44,,,,,,,,,
7480,2017,Aces,Agricultural & Applied Econ,79,32,47,11,4,2,2,0,1.47,,,,,,,,,
7479,2017,Aces,Agric Leadership & Sci Educ,74,48,26,69,0,1,1,0,0.54,,,,,,,,,
7322,2016,Aces,Agricultural & Biological Engr,222,77,145,105,19,6,10,0,1.89,,,,,,,,,
7277,2016,Aces,Nutritional Sciences,52,41,11,26,7,1,6,0,0.27,,,,,,,,,
7275,2016,Aces,Natural Resrcs & Environ Sci,305,162,143,198,17,7,29,1,0.89,,,,,,,,,
7272,2016,Aces,Human Development & Family St,191,174,17,108,19,28,24,0,0.1,,,,,,,,,
7269,2016,Aces,Food Science & Human Nutrition,469,367,102,215,72,29,40,0,0.28,,,,,,,,,
7268,2016,Aces,Crop Sciences,255,104,151,169,4,5,8,0,1.45,,,,,,,,,
7265,2016,Aces,Animal Sciences,601,494,107,373,47,31,97,0,0.22,,,,,,,,,
7261,2016,Aces,Agricultural & Applied Econ,82,33,49,12,4,2,1,0,1.48,,,,,,,,,
7260,2016,Aces,Agric Leadership & Sci Educ,76,51,25,70,0,2,2,0,0.49,,,,,,,,,
7259,2016,Aces,Agr & Consumer Economics,675,211,464,462,68,25,51,1,2.2,,,,,,,,,
7461,2016,Aces,Agricultural Communications,38,30,8,31,0,2,4,0,0.27,,,,,,,,,
7101,2015,Aces,Agricultural & Biological Engr,224,72,152,104,23,7,10,0,2.12,,,,,,,,,
7056,2015,Aces,Nutritional Sciences,45,32,13,23,8,1,5,0,0.41,,,,,,,,,
7054,2015,Aces,Natural Resrcs & Environ Sci,318,148,170,208,14,10,23,0,1.15,,,,,,,,,
7052,2015,Aces,Human Development & Family St,198,174,24,109,16,26,33,0,0.14,,,,,,,,,
7049,2015,Aces,Food Science & Human Nutrition,493,374,119,243,68,32,37,0,0.32,,,,,,,,,
7048,2015,Aces,Crop Sciences,264,112,152,186,8,4,5,1,1.36,,,,,,,,,
7045,2015,Aces,Animal Sciences,620,497,123,406,45,29,81,0,0.25,,,,,,,,,
