,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7730,2018,Applied Health Sciences,Kinesiology,634,348,286,351,99,38,81,0,0.82
7728,2018,Applied Health Sciences,Community Health,656,496,160,261,102,138,113,0,0.32
7727,2018,Applied Health Sciences,Audiology,26,23,2,21,4,0,1,0,0.09
7729,2018,Applied Health Sciences,Interdisciplinary Health Sci,328,268,60,166,66,29,50,0,0.22
7732,2018,Applied Health Sciences,Public Health,20,16,4,10,2,3,4,0,0.25
7734,2018,Applied Health Sciences,Speech & Hearing Science,298,284,14,210,24,8,35,1,0.05
7733,2018,Applied Health Sciences,"Recreation, Sport, And Tourism ",359,116,243,219,13,49,34,0,2.09
7501,2017,Applied Health Sciences,Interdisciplinary Health Sci,285,231,54,144,46,23,48,0,0.23
7500,2017,Applied Health Sciences,Community Health,614,483,131,242,99,127,115,0,0.27
7499,2017,Applied Health Sciences,Audiology,26,22,4,19,5,0,2,0,0.18
7502,2017,Applied Health Sciences,Kinesiology,643,368,275,371,99,35,77,1,0.75
7504,2017,Applied Health Sciences,Public Health,26,22,4,12,4,3,2,0,0.18
7505,2017,Applied Health Sciences,"Recreation, Sport, And Tourism ",363,133,230,224,13,54,34,0,1.73
7507,2017,Applied Health Sciences,Speech & Hearing Science,312,295,17,228,23,6,35,1,0.06
7285,2016,Applied Health Sciences,"Recreation, Sport, And Tourism ",333,107,226,194,23,55,28,0,2.11
7282,2016,Applied Health Sciences,Kinesiology,629,354,275,403,78,35,61,1,0.78
7281,2016,Applied Health Sciences,Interdisciplinary Health Sci,239,197,42,109,38,24,48,0,0.21
7279,2016,Applied Health Sciences,Community Health,597,464,133,241,97,134,96,0,0.29
7278,2016,Applied Health Sciences,Audiology,29,25,4,22,6,0,1,0,0.16
7284,2016,Applied Health Sciences,Public Health,29,21,8,13,8,2,3,0,0.38
7287,2016,Applied Health Sciences,Speech & Hearing Science,343,320,23,254,25,8,36,0,0.07
7064,2015,Applied Health Sciences,"Recreation, Sport, And Tourism ",317,106,211,208,12,46,18,0,1.99
7058,2015,Applied Health Sciences,Community Health,615,468,147,250,106,131,97,0,0.31
7057,2015,Applied Health Sciences,Audiology,28,24,4,21,5,2,0,0,0.17
7060,2015,Applied Health Sciences,Interdisciplinary Health Sci,200,160,40,96,26,19,39,1,0.25
7061,2015,Applied Health Sciences,Kinesiology,621,356,265,406,68,35,62,2,0.74
7063,2015,Applied Health Sciences,Public Health,24,20,4,12,5,3,3,0,0.2
7066,2015,Applied Health Sciences,Speech & Hearing Science,350,334,16,259,27,10,35,0,0.05
6840,2014,Applied Health Sciences,Kinesiology,635,368,267,422,67,38,63,1,0.73
6836,2014,Applied Health Sciences,Audiology,25,21,4,20,3,1,0,0,0.19
6837,2014,Applied Health Sciences,Community Health,644,478,166,273,114,139,82,0,0.35
6839,2014,Applied Health Sciences,Interdisciplinary Health Sci,202,157,45,108,35,20,27,0,0.29
6842,2014,Applied Health Sciences,Public Health,28,20,8,13,3,5,4,0,0.4
6844,2014,Applied Health Sciences,Speech & Hearing Science,342,331,11,277,19,8,25,0,0.03
6843,2014,Applied Health Sciences,"Recreation, Sport, And Tourism ",345,127,218,233,9,45,23,0,1.72
6614,2013,Applied Health Sciences,Community Health,671,480,191,295,111,134,94,0,0.4
6616,2013,Applied Health Sciences,Kinesiology,612,347,265,418,52,38,54,0,0.76
6618,2013,Applied Health Sciences,Public Health,36,25,11,19,1,8,6,0,0.44
6619,2013,Applied Health Sciences,"Recreation, Sport, And Tourism ",346,134,212,234,6,40,24,0,1.58
6621,2013,Applied Health Sciences,Speech & Hearing Science,363,348,15,303,18,7,23,0,0.04
6397,2012,Applied Health Sciences,Kinesiology,633,361,272,452,54,29,51,1,0.75
6395,2012,Applied Health Sciences,Community Health,674,487,187,315,109,121,93,1,0.38
6399,2012,Applied Health Sciences,Public Health,32,24,8,15,7,4,4,0,0.33
6400,2012,Applied Health Sciences,"Recreation, Sport, And Tourism ",369,144,225,255,9,36,26,1,1.56
6402,2012,Applied Health Sciences,Speech & Hearing Science,381,369,12,331,16,3,19,0,0.03
6173,2011,Applied Health Sciences,Community Health,605,448,155,288,86,124,73,2,0.35
6175,2011,Applied Health Sciences,Kinesiology,648,377,270,464,48,32,53,2,0.72
6177,2011,Applied Health Sciences,Public Health,30,22,8,13,11,2,1,0,0.36
6178,2011,Applied Health Sciences,"Recreation, Sport, And Tourism ",374,132,242,259,13,34,31,2,1.83
6180,2011,Applied Health Sciences,Speech & Hearing Science,362,347,15,313,15,1,19,0,0.04
5953,2010,Applied Health Sciences,Community Health,551,424,126,270,76,118,60,3,0.3
5952,2010,Applied Health Sciences,Audiology,21,16,5,18,0,1,0,0,0.31
5955,2010,Applied Health Sciences,Kinesiology,652,372,279,495,32,31,47,1,0.75
5958,2010,Applied Health Sciences,"Recreation, Sport, And Tourism ",377,139,237,265,9,41,25,2,1.71
5960,2010,Applied Health Sciences,Speech & Hearing Science,336,322,14,281,11,4,23,1,0.04
5741,2009,Applied Health Sciences,Community Health,588,464,123,289,88,124,60,6,0.27
5747,2009,Applied Health Sciences,"Recreation, Sport, And Tourism ",429,150,278,289,13,54,25,2,1.85
5743,2009,Applied Health Sciences,Kinesiology,656,374,281,498,31,28,51,4,0.75
5749,2009,Applied Health Sciences,Speech & Hearing Science,340,322,17,273,13,10,19,3,0.05
5548,2008,Applied Health Sciences,Speech & Hearing Science,349,329,20,287,13,14,19,3,0.06
