,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7747,2018,Business,Technology Management,78,35,43,9,4,1,2,0,1.23
7746,2018,Business,Supply Chain Management,85,53,32,47,21,3,5,0,0.6
7743,2018,Business,Marketing,240,166,74,125,36,17,28,0,0.45
7742,2018,Business,Management,107,55,52,55,17,10,18,0,0.95
7740,2018,Business,Information Sys & Info Tech,128,56,71,53,42,4,14,0,1.29
7739,2018,Business,Finance,887,315,572,349,142,17,51,0,1.82
7738,2018,Business,Curric Unassigned,1021,445,575,531,210,30,107,0,1.29
7736,2018,Business,Business Administration (Mba),2017,652,1359,1011,424,118,152,2,2.08
7735,2018,Business,Business Administration,95,52,41,4,2,2,2,0,0.79
7521,2017,Business,Technology Management,92,39,53,4,2,1,5,0,1.36
7519,2017,Business,Supply Chain Management,79,50,29,55,12,0,6,0,0.58
7516,2017,Business,Marketing,249,162,87,138,38,16,30,1,0.54
7515,2017,Business,Management,118,56,62,62,16,11,15,0,1.11
7513,2017,Business,Information Sys & Info Tech,113,48,65,46,38,6,15,0,1.35
7512,2017,Business,Finance,845,305,540,337,132,10,39,0,1.77
7511,2017,Business,Curric Unassigned,934,428,504,484,193,36,95,0,1.18
7509,2017,Business,Business Administration (Mba),1158,374,783,637,215,73,78,0,2.09
7508,2017,Business,Business Administration,92,48,44,4,4,2,3,0,0.92
7299,2016,Business,Technology Management,119,42,77,11,5,2,2,0,1.83
7297,2016,Business,Supply Chain Management,85,57,28,62,9,0,5,0,0.49
7295,2016,Business,Marketing,230,142,88,131,40,15,25,0,0.62
7294,2016,Business,Management,108,73,35,55,17,13,9,1,0.48
7293,2016,Business,Information Sys & Info Tech,83,35,48,35,33,5,6,0,1.37
7292,2016,Business,Finance,721,276,445,305,103,11,37,0,1.61
7291,2016,Business,Curric Unassigned,1015,434,581,524,195,39,91,0,1.34
7289,2016,Business,Business Administration (Mba),254,86,168,116,33,14,18,0,1.95
7288,2016,Business,Business Administration,88,47,41,3,1,4,2,0,0.87
7074,2015,Business,Marketing,221,130,91,135,30,12,26,0,0.7
7078,2015,Business,Technology Management,138,59,79,20,10,1,0,0,1.34
7076,2015,Business,Supply Chain Management,92,54,38,65,14,0,3,0,0.7
7073,2015,Business,Management,100,62,38,55,15,10,9,0,0.61
7072,2015,Business,Information Sys & Info Tech,47,19,28,20,22,2,1,0,1.47
7071,2015,Business,Finance,705,250,455,327,86,15,34,0,1.82
7070,2015,Business,Curric Unassigned,1026,462,564,493,202,44,99,1,1.22
7068,2015,Business,Business Administration (Mba),288,85,203,123,38,19,13,1,2.39
7067,2015,Business,Business Administration,89,51,38,4,1,4,1,0,0.75
6857,2014,Business,Technology Management,106,44,62,11,15,2,2,0,1.41
6855,2014,Business,Supply Chain Management,90,40,50,69,12,0,4,0,1.25
6853,2014,Business,Marketing,221,148,73,146,17,12,25,0,0.49
6852,2014,Business,Management,103,58,45,63,11,8,9,0,0.78
6851,2014,Business,Information Sys & Info Tech,51,14,37,27,15,4,1,0,2.64
6850,2014,Business,Finance,626,219,407,284,72,13,33,0,1.86
6849,2014,Business,Curric Unassigned,975,441,534,498,192,45,92,1,1.21
6847,2014,Business,Business Administration (Mba),311,86,225,136,44,29,8,1,2.62
6846,2014,Business,Business Administration,88,49,39,5,4,3,1,0,0.8
6635,2013,Business,Technology Management,125,39,85,4,13,2,1,0,2.18
6633,2013,Business,Supply Chain Management,70,32,38,50,13,1,3,0,1.19
6631,2013,Business,Marketing,207,137,70,139,23,8,18,0,0.51
6630,2013,Business,Management,109,62,47,69,11,8,10,0,0.76
6629,2013,Business,Information Sys & Info Tech,48,11,37,29,12,1,3,0,3.36
6628,2013,Business,Finance,605,218,387,275,69,14,24,0,1.78
6627,2013,Business,Curric Unassigned,983,441,542,515,168,44,87,0,1.23
6625,2013,Business,Business Administration (Mba),352,108,244,163,40,34,12,0,2.26
6624,2013,Business,Business Administration,69,36,33,5,3,2,1,0,0.92
6416,2012,Business,Technology Management,102,33,69,7,15,3,0,0,2.09
6414,2012,Business,Supply Chain Management,58,25,33,44,8,1,2,0,1.32
6412,2012,Business,Marketing,198,126,72,134,20,11,17,0,0.57
6411,2012,Business,Management,111,61,50,70,11,10,11,0,0.82
6410,2012,Business,Information Sys & Info Tech,34,6,28,26,4,1,2,0,4.67
6409,2012,Business,Finance,655,232,423,285,86,10,18,0,1.82
6408,2012,Business,Curric Unassigned,924,390,534,533,148,35,77,0,1.37
6406,2012,Business,Business Administration (Mba),401,119,282,185,43,39,13,0,2.37
6405,2012,Business,Business Administration,47,22,25,8,3,2,0,0,1.14
6196,2011,Business,Technology Management,81,24,56,10,1,1,0,0,2.33
6194,2011,Business,Supply Chain Management,50,23,27,39,6,0,1,0,1.17
6192,2011,Business,Marketing,205,133,72,129,19,18,24,0,0.54
6191,2011,Business,Management,150,73,77,93,22,11,16,0,1.05
6190,2011,Business,Information Sys & Info Tech,35,7,28,21,8,0,3,0,4
6189,2011,Business,Finance,662,214,448,305,80,9,23,0,2.09
6188,2011,Business,Curric Unassigned,1032,449,583,647,144,36,75,0,1.3
6186,2011,Business,Business Administration (Mba),344,93,251,162,33,22,10,2,2.7
6185,2011,Business,Business Administration,44,19,25,9,2,1,0,0,1.32
5971,2010,Business,Management,181,89,91,119,17,13,19,0,1.02
5976,2010,Business,Technology Management,59,17,42,1,3,0,0,0,2.47
5974,2010,Business,Supply Chain Management,52,20,32,34,8,0,3,0,1.6
5972,2010,Business,Marketing,201,133,68,136,14,19,20,0,0.51
5970,2010,Business,Information Sys & Info Tech,32,7,25,16,4,5,3,0,3.57
5969,2010,Business,Finance,578,190,388,249,97,12,30,0,2.04
5968,2010,Business,Curric Unassigned,1020,437,583,643,168,38,68,1,1.33
5966,2010,Business,Business Administration (Mba),319,97,221,149,39,24,5,0,2.28
5965,2010,Business,Business Administration,58,27,31,18,4,0,0,0,1.15
5763,2009,Business,Supply Chain Management,35,11,24,29,3,0,2,0,2.18
5765,2009,Business,Technology Management,52,11,41,6,2,0,0,0,3.73
5761,2009,Business,Marketing,151,93,58,95,17,11,14,2,0.62
5760,2009,Business,Management,164,95,68,93,23,7,18,0,0.72
5759,2009,Business,Information Sys & Info Tech,37,7,30,19,6,4,4,0,4.29
5758,2009,Business,Finance,698,219,479,338,113,21,31,1,2.19
5757,2009,Business,Curric Unassigned,1038,464,574,627,159,64,81,2,1.24
5755,2009,Business,Business Administration (Mba),345,107,235,159,44,20,9,0,2.2
5754,2009,Business,Business Administration,110,50,60,49,7,6,5,0,1.2
5563,2008,Business,Technology Management,49,18,31,0,0,0,0,0,1.72
5562,2008,Business,Supply Chain Management,24,8,16,19,5,0,0,0,2
5560,2008,Business,Marketing,102,63,39,67,12,6,8,2,0.62
5559,2008,Business,Management,84,43,41,54,7,5,10,1,0.95
5558,2008,Business,Information Sys & Info Tech,25,6,19,15,4,0,4,0,3.17
5557,2008,Business,Finance,727,230,496,408,109,19,30,1,2.16
5556,2008,Business,Curric Unassigned,1139,487,652,656,177,79,108,4,1.34
5554,2008,Business,Business Administration (Mba),355,94,258,182,38,15,12,0,2.74
5553,2008,Business,Business Administration,254,134,120,146,28,23,19,0,0.9
5363,2007,Business,Curric Unassigned,1006,428,578,600,134,73,105,5,1.35
5361,2007,Business,Business Administration (Mba),371,96,275,168,29,15,9,1,2.86
5360,2007,Business,Business Administration,509,254,254,295,48,37,37,1,1
5458,2007,Business,Finance,785,240,544,435,113,20,32,1,2.27
5171,2006,Business,Curric Unassigned,754,300,453,475,86,47,76,4,1.51
5170,2006,Business,Business Administration (Mba),329,94,234,126,26,14,8,2,2.49
5169,2006,Business,Business Administration,754,372,382,452,84,51,42,2,1.03
5263,2006,Business,Finance,970,271,698,568,134,20,49,2,2.58
4986,2005,Business,Curric Unassigned,363,142,220,250,47,18,23,1,1.55
4985,2005,Business,Business Administration (Mba),238,67,171,90,20,12,5,2,2.55
4984,2005,Business,Business Administration,952,462,490,566,113,58,63,1,1.06
5075,2005,Business,Finance,1058,316,739,657,168,30,53,2,2.34
4797,2004,Business,Curric Unassigned,385,144,241,269,43,17,29,1,1.67
4796,2004,Business,Business Administration (Mba),305,80,225,114,23,10,4,0,2.81
4795,2004,Business,Business Administration,860,426,434,533,102,40,53,1,1.02
4887,2004,Business,Finance,1110,361,749,674,189,27,55,1,2.08
4637,2003,Business,Finance,925,285,640,570,146,19,48,1,2.25
4633,2003,Business,Business Administration,1152,522,630,650,129,61,55,1,1.21
4451,2002,Business,Finance,1016,343,673,625,151,32,45,2,1.96
4446,2002,Business,Business Administration,1291,550,741,740,168,63,58,1,1.35
4264,2001,Business,Finance,1026,358,668,655,135,45,46,2,1.87
4259,2001,Business,Business Administration,1428,617,811,783,209,72,63,2,1.31
4074,2000,Business,Finance,958,335,623,624,135,42,53,2,1.86
4069,2000,Business,Business Administration,1380,615,765,776,217,75,57,1,1.24
3877,1999,Business,Finance,946,334,612,647,118,44,45,2,1.83
3872,1999,Business,Business Administration,1355,588,767,780,209,69,51,1,1.3
3674,1998,Business,Finance,823,263,560,571,104,42,39,1,2.13
3669,1998,Business,Business Administration,1389,597,792,791,171,72,61,0,1.33
3462,1997,Business,Finance,761,239,522,537,96,29,29,0,2.18
3457,1997,Business,Business Administration,1451,627,824,803,133,76,61,3,1.31
3249,1996,Business,Finance,664,214,450,474,68,31,32,1,2.1
3246,1996,Business,Business Administration,1456,608,848,810,130,102,60,7,1.39
3051,1995,Business,Finance,682,208,474,477,65,42,39,1,2.28
3048,1995,Business,Business Administration,1342,542,800,744,107,100,59,5,1.48
2851,1994,Business,Business Administration,1272,483,789,702,92,86,55,3,1.63
2854,1994,Business,Finance,589,166,423,428,50,40,24,1,2.55
2661,1993,Business,Finance,554,155,399,402,55,36,19,0,2.57
2657,1993,Business,Business Administration,1373,542,831,806,89,91,50,1,1.53
2466,1992,Business,Marketing,25,14,11,21,2,2,0,0,0.79
2465,1992,Business,Finance,589,147,442,420,55,42,28,0,3.01
2462,1992,Business,Business Administration,1405,544,861,882,89,94,45,1,1.58
2270,1991,Business,Finance,681,191,490,511,54,58,24,0,2.57
2271,1991,Business,Marketing,178,98,80,124,17,28,8,0,0.82
2266,1991,Business,Business Administration,1175,428,747,768,80,77,35,1,1.75
2071,1990,Business,Finance,780,250,530,588,55,63,30,1,2.12
2073,1990,Business,Marketing,145,84,61,107,10,22,5,0,0.73
2067,1990,Business,Business Administration,1164,436,728,788,75,83,46,0,1.67
1870,1989,Business,Marketing,164,95,69,128,10,21,5,0,0.73
1868,1989,Business,Finance,739,278,461,548,51,62,30,0,1.66
1864,1989,Business,Business Administration,1072,397,675,744,57,66,43,0,1.7
1668,1988,Business,Marketing,168,108,60,148,7,8,4,0,0.56
1666,1988,Business,Finance,698,278,420,539,46,49,19,1,1.51
1662,1988,Business,Business Administration,1022,391,631,725,47,86,26,0,1.61
1468,1987,Business,Marketing,201,137,64,176,9,12,4,0,0.47
1467,1987,Business,Finance,658,268,390,552,29,33,14,0,1.46
1463,1987,Business,Business Administration,945,375,570,672,48,73,29,3,1.52
1266,1986,Business,Finance,664,295,369,576,16,29,14,0,1.25
1267,1986,Business,Marketing,228,156,72,201,6,15,5,0,0.46
1263,1986,Business,Business Administration,947,413,534,655,42,71,25,2,1.29
1064,1985,Business,Marketing,218,142,76,195,1,13,8,1,0.54
1063,1985,Business,Finance,622,264,358,537,22,30,10,1,1.36
1060,1985,Business,Business Administration,983,464,519,715,35,69,23,1,1.12
862,1984,Business,Marketing,179,106,73,164,3,8,4,0,0.69
861,1984,Business,Finance,551,232,319,489,13,26,3,1,1.38
858,1984,Business,Business Administration,967,456,511,745,22,68,22,1,1.12
661,1983,Business,Marketing,196,111,85,182,7,4,2,1,0.77
660,1983,Business,Finance,594,244,350,529,15,23,12,1,1.43
657,1983,Business,Business Administration,1031,458,573,831,25,61,17,2,1.25
461,1982,Business,Marketing,223,121,102,206,7,5,4,0,0.84
460,1982,Business,Finance,557,209,348,498,11,18,12,1,1.67
457,1982,Business,Business Administration,1147,506,641,966,22,61,18,2,1.27
266,1981,Business,Marketing,186,101,85,175,4,4,2,0,0.84
265,1981,Business,Finance,508,169,339,467,8,8,8,1,2.01
262,1981,Business,Business Administration,1287,551,736,1085,30,72,19,3,1.34
75,1980,Business,Marketing,54,30,24,50,0,3,1,0,0.8
