,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7769,2018,Education,Secondary Education,20.0,7.0,13.0,15.0,0.0,0.0,3.0,0.0,1.86
7770,2018,Education,Special Education,160.0,140.0,19.0,118.0,5.0,10.0,19.0,0.0,0.14
7767,2018,Education,Middle Grades Education,82.0,62.0,20.0,44.0,10.0,7.0,17.0,0.0,0.32
7766,2018,Education,Learning And Education Studies,48.0,34.0,14.0,14.0,7.0,6.0,10.0,0.0,0.41
7764,2018,Education,Elementary Education,302.0,279.0,23.0,213.0,30.0,10.0,43.0,0.0,0.08
7763,2018,Education,Educational Psychology,51.0,37.0,14.0,21.0,4.0,4.0,1.0,0.0,0.38
7762,2018,Education,Educational Policy Studies,41.0,23.0,18.0,6.0,4.0,17.0,4.0,0.0,0.78
7761,2018,Education,Education Curriculum Uassign,22.0,18.0,4.0,13.0,0.0,2.0,6.0,0.0,0.22
7760,2018,Education,"Educ Policy, Orgzn & Leadrshp ",705.0,481.0,222.0,412.0,41.0,120.0,65.0,0.0,0.46
7759,2018,Education,Ed Organization And Leadership,22.0,12.0,10.0,17.0,0.0,2.0,0.0,0.0,0.83
7758,2018,Education,Early Childhood Education,56.0,54.0,2.0,22.0,13.0,3.0,8.0,0.0,0.04
7755,2018,Education,Anthropology,152.0,102.0,50.0,74.0,10.0,17.0,17.0,0.0,0.49
7754,2018,Education,African American Studies,20.0,14.0,6.0,0.0,1.0,16.0,1.0,0.0,0.43
7753,2018,Education,Advertising,645.0,438.0,207.0,411.0,59.0,34.0,53.0,0.0,0.47
7752,2018,Education,Actuarial Science,398.0,167.0,231.0,123.0,97.0,7.0,16.0,0.0,1.38
7751,2018,Education,Accountancy,1430.0,774.0,656.0,509.0,217.0,42.0,92.0,0.0,0.85
7750,2018,Education,Aces Undeclared,55.0,29.0,26.0,25.0,3.0,8.0,10.0,0.0,0.9
7757,2018,Education,Curriculum And Instruction,79.0,62.0,17.0,34.0,7.0,8.0,11.0,0.0,0.27
7541,2017,Education,Middle Grades Education,76.0,59.0,17.0,49.0,6.0,4.0,14.0,0.0,0.29
7544,2017,Education,Special Education,175.0,154.0,21.0,131.0,5.0,8.0,23.0,0.0,0.14
