,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7778,2018,Engineering,Electrical & Computer Engr,657,112,545,92,70,3,4,0,4.87
7777,2018,Engineering,Computer Science,2318,559,1757,550,675,38,96,2,3.15
7776,2018,Engineering,Computer Engineering,1184,152,1032,303,454,14,46,0,6.79
7775,2018,Engineering,Civil Engineering,1225,324,901,450,138,16,86,1,2.79
7773,2018,Engineering,Bioengineering,383,189,194,141,110,10,26,0,1.03
7771,2018,Engineering,Aerospace Engineering,686,105,581,328,117,9,64,1,5.54
7779,2018,Engineering,Electrical Engineering,913,127,786,292,257,15,51,0,6.19
7780,2018,Engineering,Engineering,34,9,25,12,1,0,0,0,2.78
7781,2018,Engineering,Engineering Mechanics,112,16,96,35,25,0,8,0,6
7782,2018,Engineering,Engineering Physics,275,47,228,122,59,0,16,0,4.86
7794,2018,Engineering,Theoretical & Applied Mechans,36,7,29,10,3,0,1,0,4.15
7793,2018,Engineering,Systems Engineering And Design,249,68,180,115,69,6,25,0,2.65
7790,2018,Engineering,"Nuclear, Plasma, Radiolgc Engr ",218,28,190,114,18,0,16,0,6.79
7788,2018,Engineering,Mechanical Engineering,1285,248,1037,491,195,14,92,2,4.19
7787,2018,Engineering,Materials Science & Engr,504,147,357,181,99,3,16,0,2.43
7786,2018,Engineering,Industrial Engineering,367,105,262,100,68,4,19,0,2.5
7785,2018,Engineering,Financial Engineering,127,38,89,4,2,0,0,0,2.35
7784,2018,Engineering,Environ Engr In Civil Engr,99,44,55,31,4,2,6,0,1.25
7783,2018,Engineering,Engineering Undeclared,151,57,94,61,30,12,26,0,1.65
7552,2017,Engineering,Computer Science,2048,491,1557,502,570,33,90,2,3.18
7551,2017,Engineering,Computer Engineering,1270,156,1114,351,431,18,52,0,7.15
7550,2017,Engineering,Civil Engineering,1319,362,957,480,134,16,92,0,2.65
7547,2017,Engineering,Bioengineering,369,182,187,157,107,6,22,0,1.03
7545,2017,Engineering,Aerospace Engineering,716,104,612,350,120,8,66,1,5.89
7553,2017,Engineering,Electrical & Computer Engr,620,108,512,91,59,6,7,0,4.75
7555,2017,Engineering,Engineering,28,4,24,9,1,1,0,0,6
7554,2017,Engineering,Electrical Engineering,1025,146,879,322,267,18,50,0,6.03
7556,2017,Engineering,Engineering Mechanics,129,22,107,37,25,0,10,0,4.87
7557,2017,Engineering,Engineering Physics,271,41,230,124,58,3,16,0,5.61
7572,2017,Engineering,Theoretical & Applied Mechans,42,6,36,12,2,0,1,0,6
7571,2017,Engineering,Systems Engineering And Design,228,52,176,102,59,6,26,0,3.39
7568,2017,Engineering,"Nuclear, Plasma, Radiolgc Engr ",234,33,201,124,19,2,13,0,6.1
7565,2017,Engineering,Mechanical Engineering,1306,235,1071,516,166,14,85,2,4.56
7564,2017,Engineering,Materials Science & Engr,520,151,369,183,91,4,16,0,2.45
7563,2017,Engineering,Industrial Engineering,390,115,275,111,69,2,19,0,2.4
7561,2017,Engineering,Financial Engineering,128,40,88,1,6,0,0,0,2.2
7559,2017,Engineering,Environ Engr In Civil Engr,115,62,53,32,5,3,3,0,0.86
7558,2017,Engineering,Engineering Undeclared,102,42,59,43,20,7,14,0,1.41
7329,2016,Engineering,Electrical & Computer Engr,585,97,488,99,46,6,8,0,5.04
7328,2016,Engineering,Computer Science,1748,420,1328,428,472,24,55,1,3.17
7327,2016,Engineering,Computer Engineering,1195,132,1063,377,344,18,58,0,8.06
7326,2016,Engineering,Civil Engineering,1329,357,972,469,132,16,88,0,2.73
7323,2016,Engineering,Bioengineering,349,159,190,158,109,6,22,0,1.2
7321,2016,Engineering,Aerospace Engineering,672,89,583,312,108,8,65,1,6.56
7331,2016,Engineering,Engineering,25,4,21,8,0,1,1,0,5.25
7330,2016,Engineering,Electrical Engineering,1151,148,1003,383,305,16,54,0,6.78
7332,2016,Engineering,Engineering Mechanics,137,20,117,46,21,0,12,0,5.85
7333,2016,Engineering,Engineering Physics,226,29,197,119,41,1,12,2,6.8
7348,2016,Engineering,Theoretical & Applied Mechans,51,8,43,17,4,0,2,0,5.38
7344,2016,Engineering,"Nuclear, Plasma, Radiolgc Engr ",231,31,200,128,17,6,16,0,6.46
7341,2016,Engineering,Mechanical Engineering,1269,219,1050,556,158,11,86,2,4.8
7340,2016,Engineering,Materials Science & Engr,566,169,397,191,103,3,17,0,2.35
7339,2016,Engineering,Industrial Engineering,353,102,251,114,51,3,9,0,2.47
7337,2016,Engineering,Financial Engineering,121,37,84,2,8,0,0,0,2.28
7335,2016,Engineering,Environ Engr In Civil Engr,118,66,52,33,7,1,6,0,0.79
7334,2016,Engineering,Engineering Undeclared,75,30,45,33,19,1,5,0,1.5
7107,2015,Engineering,Computer Science,1640,330,1310,445,412,17,42,1,3.97
7106,2015,Engineering,Computer Engineering,1062,109,952,352,315,10,44,0,8.74
7105,2015,Engineering,Civil Engineering,1319,343,976,481,135,21,79,0,2.85
7102,2015,Engineering,Bioengineering,318,151,167,149,94,2,16,1,1.11
7100,2015,Engineering,Aerospace Engineering,657,69,588,322,111,6,55,1,8.53
7108,2015,Engineering,Electrical & Computer Engr,503,74,429,101,47,6,9,0,5.8
7109,2015,Engineering,Electrical Engineering,1146,144,1002,360,287,18,51,1,6.96
7110,2015,Engineering,Engineering,20,6,14,6,1,1,1,0,2.34
7126,2015,Engineering,Theoretical & Applied Mechans,47,8,39,17,3,0,1,0,4.88
7123,2015,Engineering,"Nuclear, Plasma, Radiolgc Engr ",233,29,204,129,25,7,19,0,7.04
7120,2015,Engineering,Mechanical Engineering,1251,182,1069,566,161,15,72,3,5.88
7119,2015,Engineering,Materials Science & Engr,586,168,418,220,97,5,20,0,2.49
7118,2015,Engineering,Industrial Engineering,337,90,247,110,48,6,5,0,2.75
7116,2015,Engineering,Financial Engineering,122,31,91,4,7,0,1,0,2.94
7114,2015,Engineering,Environ Engr In Civil Engr,100,54,46,36,7,1,7,0,0.86
7113,2015,Engineering,Engineering Undeclared,147,30,117,75,38,4,8,0,3.9
7112,2015,Engineering,Engineering Physics,248,30,218,136,37,2,13,1,7.27
7111,2015,Engineering,Engineering Mechanics,112,11,101,45,15,0,11,0,9.19
6884,2014,Engineering,Electrical & Computer Engr,534,79,455,109,52,7,11,0,5.76
6883,2014,Engineering,Computer Science,1596,291,1305,473,360,17,31,2,4.49
6882,2014,Engineering,Computer Engineering,905,92,813,318,234,13,43,0,8.84
6881,2014,Engineering,Civil Engineering,1294,322,972,507,128,17,71,0,3.02
6879,2014,Engineering,Bioengineering,320,146,174,161,92,3,15,1,1.2
6877,2014,Engineering,Aerospace Engineering,608,61,547,301,110,6,48,0,8.97
6887,2014,Engineering,Engineering Mechanics,93,8,85,46,12,0,10,0,10.63
6888,2014,Engineering,Engineering Physics,231,21,210,137,28,2,13,0,10
6903,2014,Engineering,Theoretical & Applied Mechans,56,11,45,25,4,0,0,0,4.1
6899,2014,Engineering,"Nuclear, Plasma, Radiolgc Engr ",215,30,185,123,23,5,17,0,6.17
6889,2014,Engineering,Engineering Undeclared,118,45,73,66,27,4,8,0,1.63
6896,2014,Engineering,Mechanical Engineering,1231,174,1057,564,150,11,62,3,6.08
6895,2014,Engineering,Materials Science & Engr,600,165,435,224,91,5,20,0,2.64
6894,2014,Engineering,Industrial Engineering,341,74,267,114,47,6,5,0,3.61
6892,2014,Engineering,Financial Engineering,109,33,76,3,4,0,0,0,2.31
6890,2014,Engineering,Environ Engr In Civil Engr,118,62,56,42,7,1,8,0,0.91
6885,2014,Engineering,Electrical Engineering,1109,135,973,342,273,24,44,1,7.21
6656,2013,Engineering,Aerospace Engineering,536,60,476,287,88,2,43,0,7.94
6665,2013,Engineering,Electrical Engineering,1170,135,1034,336,287,31,52,2,7.66
6664,2013,Engineering,Electrical & Computer Engr,494,71,423,122,55,5,13,0,5.96
6663,2013,Engineering,Computer Science,1514,222,1292,494,323,19,27,0,5.82
6662,2013,Engineering,Computer Engineering,791,70,721,298,207,15,38,0,10.3
6661,2013,Engineering,Civil Engineering,1287,317,970,561,129,19,69,1,3.06
6659,2013,Engineering,Bioengineering,276,124,152,144,74,2,15,1,1.23
6667,2013,Engineering,Engineering Physics,197,18,179,131,17,2,8,1,9.95
6666,2013,Engineering,Engineering Mechanics,97,11,86,57,11,1,7,0,7.82
6668,2013,Engineering,Engineering Undeclared,100,24,76,41,18,0,8,0,3.17
6682,2013,Engineering,Theoretical & Applied Mechans,58,11,47,21,2,0,3,0,4.28
6669,2013,Engineering,Environ Engr In Civil Engr,110,55,55,34,7,1,6,1,1
6678,2013,Engineering,"Nuclear, Plasma, Radiolgc Engr ",225,29,196,117,29,5,22,0,6.76
6675,2013,Engineering,Mechanical Engineering,1197,155,1041,566,134,9,56,2,6.72
6674,2013,Engineering,Materials Science & Engr,602,149,453,221,94,5,19,0,3.05
6673,2013,Engineering,Industrial Engineering,296,66,230,99,47,3,8,0,3.49
6671,2013,Engineering,Financial Engineering,98,36,62,4,6,0,0,0,1.73
6447,2012,Engineering,Electrical Engineering,1163,142,1021,352,294,28,41,1,7.2
6446,2012,Engineering,Electrical & Computer Engr,473,63,410,124,47,8,12,0,6.51
6445,2012,Engineering,Computer Science,1386,161,1225,458,276,16,30,0,7.61
6444,2012,Engineering,Computer Engineering,697,62,635,280,177,13,34,0,10.25
6443,2012,Engineering,Civil Engineering,1241,300,941,623,113,21,61,1,3.14
6441,2012,Engineering,Bioengineering,259,114,145,136,68,2,14,1,1.28
6438,2012,Engineering,Aerospace Engineering,489,70,419,270,62,6,36,0,5.99
6449,2012,Engineering,Engineering Physics,177,19,158,116,18,2,9,1,8.32
6448,2012,Engineering,Engineering Mechanics,122,12,110,66,14,1,8,0,9.17
6451,2012,Engineering,Environ Engr In Civil Engr,91,47,44,32,3,1,5,0,0.94
6453,2012,Engineering,Financial Engineering,100,33,67,11,7,0,0,0,2.04
6464,2012,Engineering,Theoretical & Applied Mechans,51,12,39,17,2,0,2,0,3.25
6460,2012,Engineering,"Nuclear, Plasma, Radiolgc Engr ",231,28,203,130,30,5,16,0,7.25
6457,2012,Engineering,Mechanical Engineering,1110,153,956,570,124,13,38,1,6.25
6456,2012,Engineering,Materials Science & Engr,571,138,433,235,96,5,15,1,3.14
6455,2012,Engineering,Industrial Engineering,268,62,206,84,42,8,6,0,3.33
6221,2011,Engineering,Civil Engineering,1178,284,893,636,103,24,45,1,3.15
6219,2011,Engineering,Bioengineering,231,97,134,127,56,0,13,1,1.39
6216,2011,Engineering,Aerospace Engineering,507,70,437,290,66,7,26,2,6.25
6223,2011,Engineering,Computer Science,1229,139,1090,455,226,14,19,0,7.85
6222,2011,Engineering,Computer Engineering,608,45,563,267,134,10,35,1,12.52
6232,2011,Engineering,Industrial Engineering,226,58,168,69,29,6,8,0,2.9
6224,2011,Engineering,Electrical & Computer Engr,476,59,417,137,47,8,14,0,7.07
6241,2011,Engineering,Theoretical & Applied Mechans,47,10,37,19,2,0,2,0,3.7
6237,2011,Engineering,"Nuclear, Plasma, Radiolgc Engr ",209,25,184,124,24,2,11,0,7.36
6234,2011,Engineering,Mechanical Engineering,1055,126,927,580,105,12,40,1,7.36
6225,2011,Engineering,Electrical Engineering,1128,133,995,344,264,21,49,0,7.49
6233,2011,Engineering,Materials Science & Engr,547,124,423,240,92,5,15,1,3.42
6230,2011,Engineering,Financial Engineering,69,17,52,9,6,0,0,0,3.06
6228,2011,Engineering,Environ Engr In Civil Engr,96,56,40,29,9,0,4,0,0.72
6227,2011,Engineering,Engineering Physics,152,14,138,106,19,0,5,0,9.86
6226,2011,Engineering,Engineering Mechanics,142,16,126,89,16,2,6,0,7.88
6003,2010,Engineering,Computer Science,1169,136,1033,458,194,11,20,0,7.6
6002,2010,Engineering,Computer Engineering,524,43,480,240,99,13,32,2,11.17
6001,2010,Engineering,Civil Engineering,1169,291,875,678,103,27,43,0,3.01
5999,2010,Engineering,Bioengineering,200,74,126,113,43,1,7,1,1.71
