,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7807,2018,Fine And Applied Arts,Instrumental Music,77.0,47.0,30.0,45.0,13.0,2.0,9.0,0.0,0.64
7804,2018,Fine And Applied Arts,Graphic Design,185.0,127.0,58.0,84.0,35.0,15.0,22.0,0.0,0.46
7803,2018,Fine And Applied Arts,Dance,68.0,59.0,9.0,42.0,1.0,14.0,5.0,0.0,0.15
7800,2018,Fine And Applied Arts,Art And Design,47.0,29.0,18.0,22.0,4.0,1.0,2.0,0.0,0.62
7797,2018,Fine And Applied Arts,Art Education,54.0,51.0,3.0,30.0,5.0,5.0,5.0,0.0,0.06
7796,2018,Fine And Applied Arts,Architecture,199.0,99.0,99.0,61.0,12.0,7.0,12.0,0.0,1.0
7795,2018,Fine And Applied Arts,Architectural Studies,418.0,167.0,251.0,195.0,49.0,25.0,78.0,0.0,1.5
7789,2018,Fine And Applied Arts,Nondegree,181.0,49.0,132.0,20.0,2.0,0.0,3.0,0.0,2.69
7725,2018,Fine And Applied Arts,Nondegree,81.0,41.0,40.0,51.0,0.0,1.0,4.0,0.0,0.98
7731,2018,Fine And Applied Arts,Nondegree,38.0,22.0,16.0,22.0,4.0,3.0,4.0,0.0,0.73
7744,2018,Fine And Applied Arts,Nondegree,97.0,47.0,50.0,2.0,0.0,0.0,0.0,0.0,1.06
7806,2018,Fine And Applied Arts,Industrial Design,201.0,102.0,99.0,56.0,48.0,7.0,15.0,0.0,0.97
7808,2018,Fine And Applied Arts,Jazz Performance,31.0,6.0,25.0,16.0,2.0,3.0,4.0,0.0,4.17
7887,2018,Fine And Applied Arts,Nondegree,149.0,73.0,76.0,51.0,6.0,1.0,6.0,0.0,1.04
7809,2018,Fine And Applied Arts,Landscape Architecture,108.0,76.0,32.0,26.0,5.0,1.0,10.0,0.0,0.42
7919,2018,Fine And Applied Arts,Nondegree,26.0,13.0,13.0,11.0,0.0,1.0,0.0,0.0,1.0
7825,2018,Fine And Applied Arts,Voice,25.0,17.0,8.0,14.0,2.0,3.0,5.0,0.0,0.47
7824,2018,Fine And Applied Arts,Urban Studies & Planning,80.0,31.0,49.0,35.0,3.0,7.0,15.0,0.0,1.58
7823,2018,Fine And Applied Arts,Urban Planning,53.0,27.0,26.0,17.0,2.0,4.0,2.0,0.0,0.96
7822,2018,Fine And Applied Arts,Theatre,201.0,115.0,85.0,130.0,10.0,18.0,24.0,0.0,0.74
7819,2018,Fine And Applied Arts,Photography,32.0,24.0,8.0,16.0,1.0,4.0,6.0,0.0,0.33
7818,2018,Fine And Applied Arts,Painting,36.0,32.0,4.0,15.0,5.0,5.0,6.0,0.0,0.12
7816,2018,Fine And Applied Arts,Nondegree,38.0,21.0,17.0,9.0,1.0,1.0,3.0,0.0,0.81
7815,2018,Fine And Applied Arts,New Media,29.0,22.0,7.0,12.0,9.0,2.0,2.0,0.0,0.32
7813,2018,Fine And Applied Arts,Music Education,152.0,80.0,72.0,110.0,15.0,6.0,18.0,0.0,0.9
7811,2018,Fine And Applied Arts,Music,338.0,160.0,178.0,174.0,29.0,11.0,28.0,0.0,1.11
7566,2017,Fine And Applied Arts,Nondegree,184.0,36.0,148.0,35.0,6.0,1.0,2.0,0.0,4.11
7578,2017,Fine And Applied Arts,Art And Design,41.0,29.0,12.0,20.0,5.0,1.0,3.0,0.0,0.41
7575,2017,Fine And Applied Arts,Art Education,41.0,38.0,2.0,24.0,5.0,2.0,6.0,0.0,0.05
7574,2017,Fine And Applied Arts,Architecture,179.0,93.0,86.0,58.0,13.0,5.0,12.0,0.0,0.92
7573,2017,Fine And Applied Arts,Architectural Studies,433.0,183.0,250.0,184.0,48.0,26.0,80.0,0.0,1.37
7497,2017,Fine And Applied Arts,Nondegree,96.0,47.0,49.0,59.0,3.0,3.0,3.0,0.0,1.04
7581,2017,Fine And Applied Arts,Graphic Design,167.0,126.0,41.0,83.0,26.0,9.0,20.0,0.0,0.33
7503,2017,Fine And Applied Arts,Nondegree,46.0,22.0,24.0,30.0,4.0,0.0,5.0,0.0,1.09
7517,2017,Fine And Applied Arts,Nondegree,114.0,47.0,67.0,1.0,0.0,0.0,0.0,0.0,1.43
7580,2017,Fine And Applied Arts,Dance,71.0,62.0,9.0,42.0,2.0,15.0,5.0,0.0,0.15
7583,2017,Fine And Applied Arts,Industrial Design,206.0,110.0,96.0,59.0,49.0,7.0,17.0,0.0,0.87
7660,2017,Fine And Applied Arts,Nondegree,220.0,99.0,121.0,79.0,13.0,8.0,10.0,0.0,1.22
7584,2017,Fine And Applied Arts,Instrumental Music,75.0,43.0,32.0,46.0,10.0,2.0,11.0,0.0,0.74
7695,2017,Fine And Applied Arts,Nondegree,21.0,12.0,9.0,6.0,1.0,2.0,0.0,0.0,0.75
7603,2017,Fine And Applied Arts,Nondegree,23.0,12.0,11.0,16.0,4.0,0.0,1.0,0.0,0.92
7601,2017,Fine And Applied Arts,Voice,34.0,24.0,10.0,21.0,2.0,5.0,5.0,0.0,0.42
7600,2017,Fine And Applied Arts,Urban Studies & Planning,75.0,31.0,44.0,32.0,5.0,3.0,15.0,0.0,1.42
7599,2017,Fine And Applied Arts,Urban Planning,68.0,35.0,33.0,22.0,2.0,2.0,3.0,0.0,0.94
7598,2017,Fine And Applied Arts,Theatre,208.0,126.0,82.0,137.0,6.0,25.0,18.0,1.0,0.65
7595,2017,Fine And Applied Arts,Photography,30.0,23.0,7.0,16.0,2.0,4.0,3.0,0.0,0.3
7594,2017,Fine And Applied Arts,Painting,31.0,24.0,7.0,12.0,2.0,5.0,2.0,0.0,0.29
