,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7791,2018,Las,Physics,565,135,430,223,65,3,26,0,2.67
7885,2018,Las,Molecular&Cell Bio-Undeclared,27,15,12,9,0,1,1,0,0.8
7899,2018,Las,Sociology,213,136,77,65,13,47,50,0,0.57
7893,2018,Las,Psychological Science,21,13,8,8,1,2,0,0,0.62
7891,2018,Las,Political Science,768,345,422,434,66,60,138,0,1.22
7890,2018,Las,Plant Biology,33,21,12,15,2,0,2,0,0.57
7888,2018,Las,Philosophy,111,29,82,53,6,9,15,0,2.83
7886,2018,Las,Neuroscience,54,32,22,27,4,1,7,0,0.69
7884,2018,Las,Molecular And Cellular Biology,953,535,418,434,304,34,87,0,0.78
7868,2018,Las,Global Studies,183,131,52,83,23,20,35,0,0.4
7883,2018,Las,Molecular & Integrative Physi,23,15,8,7,2,0,1,0,0.53
7882,2018,Las,Microbiology,49,29,20,19,5,0,4,0,0.69
7881,2018,Las,Mathematics,772,265,506,162,82,13,53,0,1.91
7880,2018,Las,Math & Computer Science,273,48,225,56,95,1,7,0,4.69
7879,2018,Las,Linguistics,125,75,50,54,18,4,14,1,0.67
7876,2018,Las,Las - Undeclared,135,89,46,3,2,67,61,0,0.52
7873,2018,Las,Integrative Biology,347,200,147,191,48,23,51,0,0.74
7870,2018,Las,History,340,124,216,219,17,19,48,0,1.74
7900,2018,Las,Spanish,121,81,40,54,2,5,34,0,0.49
7901,2018,Las,Statistics,561,236,325,96,96,8,23,0,1.38
7902,2018,Las,Statistics & Computer Science,259,64,195,31,122,0,4,0,3.05
7903,2018,Las,Teaching Of Biological Science,24,15,9,24,0,0,0,0,0.6
7910,2018,Las,Translation And Interpreting,30,20,10,12,1,2,8,0,0.5
7905,2018,Las,Teaching Of English Sec Lang,28,23,5,8,3,0,5,0,0.22
7869,2018,Las,Health Communication,27,25,2,23,2,1,1,0,0.08
7894,2018,Las,Psychology,1667,1230,437,659,284,166,286,0,0.36
7864,2018,Las,Geology,97,42,55,54,7,2,12,0,1.31
7842,2018,Las,Communication,732,452,280,392,53,102,116,0,0.62
7837,2018,Las,Chemical Engineering,756,252,502,295,174,18,66,0,1.99
7836,2018,Las,Cell And Developmental Biology,31,18,13,3,1,0,1,0,0.72
7835,2018,Las,Biophysics & Quant Biology,46,13,33,11,4,0,2,0,2.54
7833,2018,Las,Biology,720,440,280,291,221,48,111,0,0.64
7832,2018,Las,Biochemistry,242,118,124,95,52,5,20,1,1.05
