,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7920,2018,Media,Strategic Brand Communication,68.0,51.0,17.0,50.0,4.0,7.0,5.0,0.0,0.33
7918,2018,Media,Media And Cinema Studies,116.0,66.0,50.0,48.0,12.0,13.0,24.0,0.0,0.76
7917,2018,Media,Journalism,228.0,138.0,90.0,130.0,15.0,25.0,31.0,1.0,0.65
7916,2018,Media,Communications And Media,47.0,33.0,14.0,6.0,2.0,3.0,1.0,0.0,0.42
7696,2017,Media,Strategic Brand Communication,23.0,18.0,5.0,16.0,1.0,2.0,3.0,0.0,0.28
7693,2017,Media,Media And Cinema Studies,98.0,59.0,39.0,36.0,16.0,13.0,15.0,0.0,0.66
7692,2017,Media,Journalism,239.0,155.0,84.0,132.0,19.0,29.0,34.0,1.0,0.54
7691,2017,Media,Communications And Media,47.0,32.0,15.0,8.0,2.0,3.0,3.0,0.0,0.47
7466,2016,Media,Media And Cinema Studies,97.0,59.0,38.0,39.0,21.0,12.0,13.0,0.0,0.64
7465,2016,Media,Journalism,209.0,133.0,76.0,116.0,16.0,28.0,28.0,1.0,0.57
7464,2016,Media,Communications And Media,45.0,31.0,14.0,8.0,3.0,3.0,3.0,0.0,0.45
7247,2015,Media,Media And Cinema Studies,87.0,53.0,34.0,36.0,16.0,6.0,12.0,0.0,0.64
7246,2015,Media,Journalism,141.0,88.0,53.0,73.0,11.0,22.0,20.0,0.0,0.6
7245,2015,Media,Communications And Media,40.0,27.0,13.0,8.0,1.0,2.0,3.0,0.0,0.48
7025,2014,Media,Media And Cinema Studies,98.0,54.0,44.0,48.0,12.0,3.0,9.0,0.0,0.81
7024,2014,Media,Journalism,90.0,63.0,27.0,43.0,10.0,14.0,10.0,0.0,0.43
7023,2014,Media,Communications And Media,32.0,21.0,11.0,6.0,1.0,2.0,2.0,0.0,0.52
6805,2013,Media,Media And Cinema Studies,92.0,49.0,42.0,50.0,13.0,4.0,7.0,0.0,0.86
6802,2013,Media,Communications And Media,27.0,17.0,10.0,6.0,0.0,2.0,2.0,0.0,0.59
6583,2012,Media,Media And Cinema Studies,114.0,56.0,57.0,77.0,8.0,10.0,7.0,0.0,1.02
6579,2012,Media,Communications And Media,21.0,13.0,8.0,6.0,0.0,2.0,2.0,0.0,0.62
6361,2011,Media,Media And Cinema Studies,118.0,59.0,59.0,76.0,12.0,10.0,7.0,0.0,1.0
6137,2010,Media,Journalism,20.0,13.0,7.0,16.0,1.0,1.0,0.0,0.0,0.54
6139,2010,Media,Media And Cinema Studies,62.0,29.0,33.0,40.0,6.0,5.0,4.0,0.0,1.14
5921,2009,Media,Journalism,25.0,17.0,8.0,13.0,2.0,4.0,1.0,0.0,0.47
5709,2008,Media,Journalism,26.0,14.0,12.0,17.0,0.0,3.0,2.0,0.0,0.86
5514,2007,Media,Journalism,26.0,12.0,14.0,22.0,0.0,0.0,2.0,0.0,1.17
5320,2006,Media,Journalism,26.0,16.0,10.0,21.0,0.0,1.0,0.0,0.0,0.62
5130,2005,Media,Journalism,31.0,20.0,11.0,24.0,1.0,2.0,0.0,0.0,0.55
4943,2004,Media,Journalism,33.0,24.0,9.0,24.0,1.0,2.0,1.0,0.0,0.38
4756,2003,Media,Journalism,29.0,21.0,8.0,20.0,2.0,2.0,0.0,0.0,0.38
4569,2002,Media,Journalism,30.0,24.0,6.0,20.0,2.0,3.0,0.0,0.0,0.25
4380,2001,Media,Journalism,28.0,19.0,9.0,13.0,1.0,3.0,0.0,0.0,0.47
4191,2000,Media,Journalism,23.0,14.0,9.0,14.0,1.0,2.0,1.0,0.0,0.64
3999,1999,Media,Journalism,23.0,11.0,12.0,14.0,1.0,4.0,0.0,0.0,1.09
3797,1998,Media,Journalism,24.0,14.0,10.0,13.0,2.0,6.0,0.0,0.0,0.71
3587,1997,Media,Journalism,24.0,11.0,13.0,19.0,4.0,0.0,0.0,0.0,1.18
3376,1996,Media,Journalism,26.0,14.0,12.0,21.0,1.0,0.0,0.0,0.0,0.86
